Имя пользователя,Ссылка,Время,Текст,Хэштеги
Интерфакс-Украина,@interfaxua,21 мар. 2020 г.,Тестирование людей на коронавирус без признаков болезни не имеет смысла,
Наталья Польская,@nata30911,21 мар. 2020 г.,"""Мы сделаем это"": Италия не справляется с COVID-19, но не падает духом… https://youtu.be/6xNZAM6F9zA через ",
уставший Лис,@fuchsileys,21 мар. 2020 г.,Я хочу знать правду ,
Vlad,@Ukraine_Twi,21 мар. 2020 г.,"Почему имея колоссальный научный потенциал Украина не принимает участия в разработке вакцины от #Covid_19? Не потому ли, что Коболев получает 1,5 млн грн з/п, а работник науки  — до 8 тысяч. Теперь если наши чиновники заболеют, пусть идут за вакциной к Коболеву или Лещенко",#covid
Slava Makaroff,@slavamakarov,21 мар. 2020 г.,В частной больнице “2 мая” в Барселоне почти половина персонала службы скорой помощи выведено из строя в связи карантином или инфицированием медиков вирусом covid-19. Больница и ранее испытывала нехватку персонала.,
КараЛенина,@Caramelina4,21 мар. 2020 г.,Война на уничтожение #ВалентинКатасонов #Кризис #Коронавирус #Карантин https://youtu.be/YLdfSR92H9s с помощью ,#коронавирус
ФАКТЫ,@faktyua,21 мар. 2020 г.,Первый случай COVID-19 подтвержден в Харьковской области,
Портал АНТИКОР,@antikorua,25 мар. 2020 г.,Фото больницы на Луганщине для больных COVID-19 шокировали украинцев • Портал АНТИКОР https://antikor.com.ua/articles/367725-foto_boljnitsy_na_luganshchine_dlja_boljnyh_covid-19_shokirovali_ukraintsev…,
RMC News,@RMCNewsru,25 мар. 2020 г.,В Подмосковье приостановили деятельность ночных клубов и кинотеатров,
RMC News,@RMCNewsru,25 мар. 2020 г.,Более 30 россиян просят помочь с возвращением на родину из Коста-Рики,
Новости Украины,@uatime_net,25 мар. 2020 г.,В США на COVID-19 заболело еще более 50 тыс. человек - https://uatime.net/ukraine/v-ssha-na-covid-19-zabolelo-eshhe-bolee-50-tys-chelovek/… #Киев #Новости #Украина,
IRISHA VINNITSKAYA,@IRISHAVIN,25 мар. 2020 г.,Ученые выяснили при какой температуре умирает коронавирус COVID-19 • Портал АНТИКОР https://antikor.com.ua/articles/367702-uchenye_vyjasnili_pri_kakoj_temperature_umiraet_koronavirus_covid-19…,
Новости Украины,@1news_ukraine,25 мар. 2020 г.,Медики одобряют - Минздрав рассказал о почасовой оплате за лечение COVID-19  http://ukraine.web2ua.com/mediki-odobrjajut-minzdrav-rasskazal-o-pochasovoj-oplate-za-lechenie-covid-19-1478/…,
Санкционник,@DarcesY,25 мар. 2020 г.,В Подмосковье приостановлена работа досуговых заведений из-за COVID-19 http://dlvr.it/RSVXyF,
Новости+,@Mam1ba1,25 мар. 2020 г.,"ОАЭ легализует туристов, оставшихся в стране из-за COVID-19 - https://da-te.ru/%d0%be%d0%b0%d1%8d-%d0%bb%d0%b5%d0%b3%d0%b0%d0%bb%d0%b8%d0%b7%d1%83%d0%b5%d1%82-%d1%82%d1%83%d1%80%d0%b8%d1%81%d1%82%d0%be%d0%b2-%d0%be%d1%81%d1%82%d0%b0%d0%b2%d1%88%d0%b8%d1%85%d1%81%d1%8f/…",
Пятый канал Новости,@5tv,25 мар. 2020 г.,,
Кодекс,@KodeksuNET,25 мар. 2020 г.,"Число заболевших коронавирусом в США достигло почти 53 тыс., около 700 человек умерли...",
ИА REGNUM,@IA_REGNUM,25 мар. 2020 г.,COVID-19: власти заплатят самоизолированным пенсионерам Якутии https://regnum.ru/news/2894406,
РИА Новости,@rianru,25 мар. 2020 г.,,
Dorgio.mn,@Dorgiomn,25 мар. 2020 г.,Covid-19 хакеруудын урхи болж байна,
Мир 24,@Mir24TV,25 мар. 2020 г.,Рейтинг Трампа впервые превысил его антирейтинг благодаря коронавирусу,
Москва-ТуТ,@moskva_ru,25 мар. 2020 г.,"В Общественной палате рассказали о ""коронавечеринках"" в Краснодаре: В Краснодаре на фоне пандемии COVID-19 проводятся ""коронавечеринки"",... https://bit.ly/3dvZG7k",
ООН,@UnitedNationsRU,25 мар. 2020 г.,"Верховный комиссар ООН по правам человека призывает к смягчению санкций в отношении Ирана, Кубы, КНДР, Венесуэлы и др., чтобы дать возможность системам здравоохранения бороться с COVID-19 и предотвратить распространение вируса на глобальном уровне ",
ВСЕМОГУСЕВ,@vsemogusev,25 мар. 2020 г.,Железный Человек победит #Коронавирус . Инфа 100%,#коронавирус
