Имя пользователя,Ссылка,Время,Текст,Хэштеги
Стартапы и бизнес,@vcru,21 апр. 2020 г.,"Основатели Instagram Майк Кригер и Кевин Систром создали сайт, который наглядно показывает риск заражения Covid-19 в каждом штате США. Проект должен помочь оценить уровень безопасности, когда карантин начнут постепенно снимать",
Портал АНТИКОР,@antikorua,21 апр. 2020 г.,В Минобороны расследуют сомнительный контракт с китайцами на закупку средств защиты от COVID-19 • ... https://antikor.com.ua/articles/374559-v_minoborony_rassledujut_somniteljnyj_kontrakt_s_kitajtsami_na_zakupku_sredstv_zashchity_ot_covid-19…,
ownLade,@OwnLade,21 апр. 2020 г.,Все кто увидел этот пост! Давайте возьмём ситуацию в свои руки и поддержим петицию Алексея Навального!,
Марина Рудой,@marina_rudoy,21 апр. 2020 г., -40$ за баррель.,
Александр,@Crazytrofim123,21 апр. 2020 г.,"Мне стало интересно, а много ли книг вы прочитали во время самоизоляции?",
Кавказский Узел,@caucasianknot,21 апр. 2020 г.,#Новоевблоге: Что поменяет пандемия в мире?,
Николай Бобровский,@NNBobrovskiy,21 апр. 2020 г.,"сейчас в мире на кораблях под разными флагами ходит по морю около 80тыс россиян.Случаи заболевания COVID-19 на грузовых и торговых судах пока не зарегистрированы.По словам Игоря Ковальчука, добросовестные судовладельцы очень внимательно относятся к смене",
МАМУЛЕЧКА,@enderkina,21 апр. 2020 г.,В ответ ,
Газета «DAILY»,@gazetadaily1,21 апр. 2020 г.,Найдена связь между загрязнением воздуха и со смертями от COVID-19 - https://gazetadaily.ru/04/20/najdena-svyaz-mezhdu-zagryazneniem-vozduha-i-so-smertyami-ot-covid-19/…,
MEDQUEEN,@MedqueenCom,21 апр. 2020 г.,СТРАНЫ МИРА ПРИНИМАЮТ МЕРЫ ПО БОРЬБЕ С СOVID-19,
Медуза Васильевна Горгонян,@tetya_sarra,21 апр. 2020 г.,В ответ ,
PlanesFirst,@PlanesFirst,21 апр. 2020 г.,Присмотритесь к фото и обратите внимание на защитные стекла. Одно из решений для авиакомпаний после COVID-19.,
Интерфакс,@interfax_news,21 апр. 2020 г.,В Великобритании зафиксировали самое низкое число новых смертей от COVID-19 за две недели,
MaMaBo,@MaMaBo992,21 апр. 2020 г.,Сейчас смотрим в прямом эфире как меняется мир ,
Интерфакс,@interfax_news,21 апр. 2020 г.,В Турции ввели комендантский час на четыре дня для борьбы с COVID-19,
78 | НОВОСТИ,@good78news,21 апр. 2020 г.,"Петербургские учёные исследуют вещество, способное заблокировать коронавирус: https://78.ru/news/2020-04-20/peterburgskie_uchnie_issleduyut_veshestvo_sposobnoe_zablokirovat_koronavirus…",
Жуковские вести,@Zhukvesti,21 апр. 2020 г.,"Итоги недели. С пандемией свыклись, но подустали. Хроника коронавируса в мире, стране, области и городе",
СемьЯ,@sammmka,21 апр. 2020 г.,«Яндекс» запускает бесплатное домашнее тестирование на COVID-19: Тест могут сделать жители Москвы и области. http://dlvr.it/RV74j5,
beautyOlga,@beautyOlgaonly,21 апр. 2020 г.,#Тест на #коронавирус - где провериться и как #диагностировать коронавирусную инфекцию?,#коронавирус
Schrödinger’s Cat When Nobody Is Looking,@nitupoff,21 апр. 2020 г.,#COVID19  уравнивает всех (ц) ,#covid #covid19
СеверПост,@_SeverPost_,21 апр. 2020 г.,В России более 700 больных коронавирусом находятся в тяжелом состоянии,
Комиинформ,@komiinform,21 апр. 2020 г.,COVID-19 в городах и районах Коми: актуальные цифры на 20 апреля  http://tinyurl.com/ybvgwaxp,
RusNext РусскаяВесна,@rusnextru,21 апр. 2020 г.,"Президент Чили Себастьян Пиньера заявил, что определённые ограничения, связанные с распространением коронавирусной инфекции COVID-19, могут продлиться в стране до двух лет. #Чили  #Коронавирус #РусскаяВесна #RusNext",#коронавирус
RUAinform: новости,@ruainform,21 апр. 2020 г.,Продажи и прибыль Procter & Gamble растут на фоне усиления спроса из-за COVID-19 #продажи #прибыль #procter_&_gamble,
Vegatur,@vegatur1,21 апр. 2020 г.,тест на #COVID19,#covid #covid19
SOVA,@sovanews,21 апр. 2020 г.,Министры экономического блока: помощь Саакашвили только навредит #коронавирус #НатияТурнава #экономикаГрузии https://sova.news/2020/04/20/ministry-ekonomicheskogo-bloka-pomoshh-saakashvili-tolko-navredit/…,#коронавирус
сергей,@rebus454,21 апр. 2020 г.,В ответ ,
ИА REGNUM,@IA_REGNUM,21 апр. 2020 г.,В Петербурге 33 ребенка болеют COVID-19 https://regnum.ru/news/2923127,
HashVPN,@VpnHash,21 апр. 2020 г.,В приложении для отслеживания COVID-19 обнаружена утечка данных,
